Wed Dec 04 2019 14:54:34 GMT-0800 (Pacific Standard Time)
Time (s),Weight (?)
0.252,-0.0
0.255,-0.0
0.257,-0.0
0.259,-0.0
0.26,-0.0
0.403,-0.0
0.405,-0.0
0.469,-0.0
0.548,0.0
0.618,-0.0
0.713,0.6
0.807,10.3
0.911,23.0
0.993,24.5
1.087,24.4
1.187,24.5
1.273,24.6
1.373,24.7
1.464,24.8
1.555,24.8
1.647,24.9
1.74,24.9
1.833,25.0
1.941,25.1
2.02,25.1
2.118,25.2
2.214,25.2
2.305,25.3
2.391,25.3
2.485,25.3
2.581,25.3
2.681,25.4
2.767,24.9
2.858,15.6
2.952,2.0
3.044,0.1
3.138,0.1
3.236,0.0
3.327,0.0
3.42,0.0
3.518,0.0
3.613,0.0
3.699,0.0
3.79,0.0
3.884,-0.0
3.981,-0.0
4.071,-0.0
4.169,-0.0
4.257,-0.0
4.351,-0.0
4.445,-0.1
4.537,-0.1
4.635,-0.1
4.726,-0.1
4.816,-0.1
4.91,-0.1
5.002,-0.1
5.097,-0.1
5.206,-0.1
5.281,-0.1
5.376,-0.1
5.47,-0.1
5.596,-0.1
5.667,-0.1
5.755,-0.1
5.844,-0.1
5.936,-0.1
6.028,-0.1
6.123,-0.1
6.217,-0.1
6.315,-0.1
6.406,-0.1
6.498,-0.1
6.589,-0.1
6.683,-0.1
6.776,-0.1
6.881,-0.1
6.962,-0.2
7.079,-0.2
7.153,-0.2
7.242,-0.2
7.338,-0.2
7.43,-0.2
7.525,-0.2
7.614,-0.2
